Title,Director,Popularity
"A Chorus Line, The Movie","Attenborough, Richard",71
Stewardess School,"Blancato, Ken",28
"Big Town, The","Bolt, Ben",11
Rumble Fish,"Coppola, Francis Ford",4
"Outsiders, The","Coppola, Francis Ford",56
Priceless Beauty,"Finch, Charles",7
Streets of Fire,"Hill, Walter",65
Men Don't Leave,"Brickman, Paul",66
Everybody's All American,"Hackford, Taylor",62
Cape Fear,"Scorsese, Martin",7
"Postman Always Rings Twice, The",,24
Crashing Thru,"Taylor, Ray",19
Get Out Your Handkerchiefs,"Blier, Bertrand",78
"Boy Friend, THe","Russell, Ken",8
Hard To Kill,"Malmuth, Bruce",49
Psycho,"Hitchcock, Alfred",56
Jet Pilot,"Sternberg, Josef von",43
Under Cover,"Stockwell, John",36
A Streetcar Named Desire,"Kazan, Elia",75
"Golden Child, The","Ritchie, Michael",86
"Statue, The","Amateau, Rod",80
Christopher Columbus,"Lattuada, Alberto",69
In Country,"Jewison, Norman",76
"Wild Geese, The","McLaglen, Andrew V.",21
"Second Coming of Suzanne., The","Barry, Michael",21
Bronco Billy,"Eastwood, Clint",57
"Gauntlet, The","Eastwood, Clint",18
Ratboy,"Locke, Sondra",1
Lady Vanishes,"Hitchcock, Alfred",27
"Kitchen Toto, THe","Hook, Harry",41
Carlton-Browne of the F.O.,"Boulting, Roy",63
Racketeer,"Higgin, Howard",2
Mr. & Mrs. Smith,"Hitchcock, Alfred",3
Alrededor de Medianoche,"Rayfield, David",47
Losin' It,"Hanson, Curtis",4
Into the Homeland,"Glatter, Lesli Linka",34
Boxing Babes,"Dell, Stewart",9
Shock 'em Dead,"Freed, Mark",31
Heller in Pink Tights,"Cukor, George",52
Two Women,"De Sica, Vittorio",83
"Gold of Naples, The","De Sica, Vittorio",40
"Yesterday, Today & Tomorrow","De Sica, Vittorio",73
Legend of the Lost,"Hathaway, Henry",84
Brass Target,"Hough, John",53
"Fall of the Roman Empire, The","Mann, Anthony",62
El Cid,"Mann, Anthony",10
Desire under the Elms,"Mann, Delbert",13
Two Nights with Cleo,"Mattoli, Mario",54
"Black Orchid, The","Ritt, Martin",54
Angela,"Sagal, Boris",80
A Special Day,"Scola, Ettore",80
Blood Feud,"Wertmuller, Lina",52
"Sophia Loren, Her Own Story",,49
Running Away,,2
Man of La Mancha,,55
Operation Crossbow,,1
Courage,,56
RAD,"Needham, Hal",75
Secret Admirer,,55
Cocaine Cowboys,"Lommel, Ulli",17
Test Pilot,,13
"Ape Man, The","Beaudine, William",83
"Mission, The","Joffe, Roland",20
Curly Sue,"Hughes, John",2
Lolita,"Kubrick, Stanley",80
"Sex, Lies, and Videotape","Soderbergh, Steven",70
Green Card,"Weir, Peter",25
Gator Bait II,"Sebastian, Beverly",73
Being There,"Ashby, Hal",31
Terms of Endearment,"Brooks, James L.",32
Woman Times Seven,"De Sica, Vittorio",36
"Bliss of Mrs. Blossom, The","McGrath, Joseph",86
Postcards from the Edge,"Nichols, Mike",63
Two Mules for Sister Sara,"Siegel, Don",36
Dragonfight,,71
Back Door to Heaven,"Howard, William K.",83
"Ciao Italia, Madonna Live from Italy","De Winter, Harry",74
"Madonna, Truth or Dare","Keshishian, Alek",54
A Certain Sacrifice,"Lewicki, Steven Jon",24
"National Enquirer, The Untold Story",,65
"Immaculate Collection, The",,32
"Madonna Live, The Virgin Tour",,75
"Madonna, Justify My Love",,77
"Madonna, Like a Virgin",,63
Hot to Trot,"Dinner, Michael",78
Fire with Fire,"Gibbins, Duncan",9
Hot Spot,"Hopper, Dennis",70
Amarcord,"Fellini, Federico",50
Casablanca Express,"Martino, Sergio",33
Out of the Blue,"Hopper, Dennis",4
Sands of Iwo Jima,"Dwan, Allan",72
"Hand, The","Stone, Oliver",44
Deep Cover,"Loncraine, Richard",15
Il Bidone,"Fellini, Federico",70
El Guerrero Solitario,"Eastwood, Clint",77
Heartbreak Ridge,"Eastwood, Clint",61
"Goodbye Girl, The","Ross, Herbert",6
Audrey Rose,,62
Polyester,,68
Robin Hood: Prince of Thieves,"Costner, Kevin",8
White Sands,"Donaldson, Roger",38
"Color of Money, The","Scorsese, Martin",6
Children of a Lesser God,"Haines, Randa",20
Matador,"Almodóvar, Pedro",34
Women on the Verge of a Nervous Breakdown,"Almodóvar, Pedro",65
Pepi Luci Bom,"Almodóvar, Pedro",66
"Forgotten, The","Keach, James",69
"Flame & the Arrow, The",,0
After the Shock,"Sherman, Gary",28
Modern Love,,18
Riff Raff,"Loach, Ken",71
"Glory Stompers, The","Lanza, Anthony M.",27
Dances with Wolves,"Costner, Kevin",8
Matewan,"Sayles, John",81
Mississippi Burning,"Parker, Alan",41
"Eiger Sanction, The","Eastwood, Clint",69
Unsettled Land,"Barbash, Uri",75
Cat Chaser,"Ferrera, Abel",6
"Accused, The","Kaplan, Jonathan",71
Winter People,"Kotcheff, Ted",30
"Reuben, Reuben","Miller, Robert Ellis",2
Made in Heaven,"Rudolph, Alan",57
Top Gun,"Scott, Tony",8
Witness,"Weir, Peter",59
"House on Carroll Street, The",,6
Racing with the Moon,"Benjamin, Richard",50
Lovesick,"Brickman, Marshall",51
She's Having a Baby,,18
"Greatest Story Ever Told, The","Stevens, George",26
Hawks,"Miller, Robert Ellis",11
So Fine,"Bergman, Andrew",17
Paths of Glory,"Kubrick, Stanley",47
Tom Jones,"Dassin, Jules",39
"Sunshine Boys, The","Ross, Herbert",35
Caddyshack 2,"Arkush, Allan",34
Internal Affairs,"Figgis, Mike",3
JFK,"Stone, Oliver",78
New Jack City,"Van Peebles, Mario",80
Scenes from a Mall,,8
Hope & Glory,"Boorman, John",3
Ryan's Daughter,"Lean, David",81
"Man Who Loved Cat Dancing, The","Sarafian, Richard C.",40
"Man Who Shot Liberty Valance, The","Ford, John",85
Dead-Bang,"Frankenheimer, John",9
Big Top Pee-wee,"Kleiser, Randal",17
"Time Machine, The","Pal, George",88
Cabaret,"Fosse, Bob",59
Arthur,"Gordon, Steve",79
A Matter of Time,"Minnelli, Vincente",70
"New York, New York","Scorsese, Martin",8
"Nightmare on Elm Street, Pt. 5, The Dream Child","Hopkins, Stephen",41
"Fiendish Plot of Dr. Fu Manchu, The","Haggard, Piers",29
Four American Composers,"Greenaway, Peter",3
"Asphalt Jungle, The","Huston, John",77
Ladies of the Chorus,"Karlson, Phil",60
How to Marry a Millionaire,"Negulesco, Jean",65
Hollywood Out-Takes & Rare Footage,,27
Nothing But Trouble,"Aykroyd, Dan",25
Wisdom,"Estevez, Emilio",25
One Crazy Summer,"Holland, Savage Steve",61
We're No Angels,"Jordan, Neil",51
No Small Affair,"Schatzberg, Jerry",10
Ghost,"Zucker, Jerry",6
About Last Night,"Zwick, Edward",66
Six Weeks,"Bill, Tony",73
Return of October,"Lewis, Joseph H.",35
"Come Back, Little Sheba","Mann, Daniel",50
Going Places,"Blier, Bertrand",66
Monte Walsh,"Fraker, William A.",29
Mr. Arkadin,"Welles, Orson",80
White of the Eye,"Cammell, Donald",48
"Producers, The","Brooks, Mel",33
"Front, The","Ritt, Martin",70
House of the Rising Sun,"Gold, Greg",45
In a Shallow Grave,"Bowser, Kenneth",72
Mc Q,"Sturges, John",73
Lady from Louisiana,"Vorhaus, Bernard",38
Wait Until Spring Bandini,"Deruddere, Dominique",29
"Long Voyage Home, The","Ford, John",88
"Trouble with Harry, The","Hitchcock, Alfred",28
Encounters,"Marder, Bruce",44
Hud,"Ritt, Martin",2
Operation Pacific,,5
Surf Nazis Must Die,"George, Peter",50
Teahouse of the August Moon,"Mann, Daniel",11
Back in the U.S.S.R.,,61
"Man Who Haunted Himself, The","Dearden, Basil",75
Prisoner of Honor.,"Russell, Ken",58
Control,,27
Desert Rider,"Bradbury, Robert N.",
Wholly Moses!,"Weis, Gary",25
Star Trek VI: The Undiscovered Country,"Meyer, Nicholas",11
Star Trek V: The Final Frontier,"Shatner, William ",87
Circuitry Man,"Lovy, Steven",78
Cobra,"Cosmatos, George P.",57
Beverly Hills Cop II,"Scott, Tony",37
Red Sonja,,40
To Joy,"Bergman, Ingmar",65
Macbeth,,45
Vertigo,"Hitchcock, Alfred",10
Young Love: Lemon Popsicle Seven,"Bennett, Walter",47
Crack-Up,"Reis, Irving",25
Bury Me Not on the Lone Prairie,"Taylor, Ray",85
Law & Order,"Taylor, Ray",87
Man from Montana,"Taylor, Ray",85
"Long Gray Line, The","Ford, John",26
Rio Grande,"Ford, John",64
"Wings of Eagles, The","Ford, John",29
Jamaica Inn,"Hitchcock, Alfred",75
Big Jake,"Sherman, George",68
"Quiet Man, The",,74
After the Rehearsal,"Bergman, Ingmar",0
Big Jim McLain,"Ludwig, Edward",14
Smith!,"O'Herlihy, Michael",62
"Wild One, The","Benedek, Laslo",26
"Manxman, The","Hitchcock, Alfred",65
International Velvet,"Forbes, Bryan",40
Scanners,"Cronenberg, David",32
Trick or Treat,"Smith, Charles Martin",47
48 Hrs.,"Hill, Walter",67
"Trip to Bountiful, The","Masterson, Peter",62
Mister Roberts,"Ford, John",8
Z,Costa-Gavras,72
Maurice,"Ivory, James",45
Hamlet,"Richardson, Tony",39
La Femme Nikita,"Besson, Luc",6
Honeymoon in Vegas,"Bergman, Andrew",53
Going for the Gold,"Taylor, Dan",10
Shout at the Devil,"Hunt, Peter R.",0
A Smoky Mountain Christmas,"Winkler, Henry",23
Getting Physical,"Stern, Steven Hilliard",75
Torn Apart,"Fisher, Jack",8
From the Hip,"Clark, Bob",36
"Ratings Game, The","DeVito, Danny",21
Class Act,,88
Water,"Clement, Dick",47
Silent Movie,"Brooks, Mel",27
Pink Cadillac,"Eastwood, Clint",12
"Jerk, The","Reiner, Carl",22
Wild Times,"Compton, Richard",75
Sweet Liberty,"Alda, Alan",12
Grease II,"Birch, Patricia",64
Married to the Mob,"Demme, Jonathan",8
Ladyhawke,"Donner, Richard",68
"Fabulous Baker Boys, The","Kloves, Steve",66
Into the Night,"Landis, John",62
"Russia House, The","Schepisi, Fred",3
Tequila Sunrise,"Towne, Robert",50
B. A. D. Cats,,87
"Last Movie, The","Hopper, Dennis",22
Dillinger,"Milius, John",83
Little Dorrit,"Edzard, Christine",12
My Best Girl,"Taylor, Sam",31
Seizure,"Stone, Oliver",59
A Chorus of Disapproval,"Winner, Michael",0
Rome Adventure,"Daves, Delmer",39
Drowning by Numbers,"Greenaway, Peter",28
Born to Ride,"Baker, Graham",59
Her Alibi,"Beresford, Bruce",80
Glitz,,9
Dangerous Pursuit,"Stern, Sandor",88
Experiment in Terror,"Edwards, Blake",77
"Hideaways, The","Cook, Fielder",42
What's New Pussycat,"Donner, Clive",83
What's New Pussycat?,"Donner, Clive",46
Packin' It In,"Taylor, Jud",8
"Naked Gun: From the Files of Police Squad!, THe","Zucker, David",9
In Too Deep,"Tatoulis, Colin South, John",50
Twins,"Reitman, Ivan",23
"Experts, The","Thomas, Dave",67
Naked Lie,"Colla, Richard A.",7
Mistress,"Tuchner, Michael",36
Pleasure Palace,,45
Adam at 6 A.M.,"Scheerer, Robert",3
Web of Deceit,"Stern, Sandor",6
New York Stories,"Coppola, Francis Ford",6
"Dreams Lost, Dreams Found","Patterson, Willi",66
Au Revoir les Enfants,"Malle, Louis",35
Quo Vadis,"Rossi, Franco",6
"Fighting Kentuckian, The","Waggner, George",74
Zardoz,"Boorman, John",6
Police Academy 6: City under Siege,"Bonerz, Peter",29
Police Academy 5: Assignment Miami Beach,"Myerson, Alan",59
Police Academy 3: Back in Training,"Paris, Jerry",6
"America's Music, Blues","Walton, Kip",54
Julia,"Zinnemann, Fred",75
"Devils, The","Russell, Ken",69
Ransom,"Segal, Alex",73
Cadillac Man,"Donaldson, Roger",28
"Best of Times, The","Spottiswoode, Roger",88
Death of a Salesman,"Schlöndorff, Volker",13
It Started with a Kiss,,80
"Money, The",,29
Empire of the Sun,"Spielberg, Steven",6
"Comfort of Strangers, The","Schrader, Paul",5
On Her Majesty's Secret Service,"Hunt, Peter R.",66
Pretty in Pink,"Deutch, Howard",75
PK. & the Kid.,,49
"Lone Star Trail, The","Taylor, Ray",27
Summer,"Rohmer, Eric",11
"Planes, Trains & Automobiles","Hughes, John",73
Pretty Woman,"Marshall, Garry",43
Flatliners,"Schumacher, Joel",19
Hook,"Spielberg, Steven",4
Riders of Pasco Basin,"Taylor, Ray",17
"Gotta Dance, Gotta Sing",,20
Desperate Hours,"Cimino, Michael",58
Gung Ho,"Howard, Ron",59
Shooting Elizabeth,"Taylor, Baz",5
Strangers on a Train,"Hitchcock, Alfred",17
"Sacketts, The","Totten, Robert",86
To Die Standing,"Morneau, Louis",53
Rodeo Girl,"Cooper, Jackie",80
Butch Cassidy & the Sundance Kid,"Hill, George Roy",29
Hellfighters,"McLaglen, Andrew V.",22
"Final Countdown, The","Taylor, Don",35
Blue Velvet,"Lynch, David",6
Cousins,,28
Black & White in Color,"Annaud, Jean-Jacques",24
Another Woman,"Allen, Woody",7
Night on Earth,"Jarmusch, Jim",24
Permanent Record,"Silver, Marisa",42
"Fisher King, The","Gilliam, Terry",8
Another You,"Phillips, Maurice",75
"Young Lions, The","Dmytryk, Edward",10
Cheerleader Camp,"Quinn, John",79
Trapper County War,,5
Angel & the Badman,"Grant, James Edward",84
Impulse,"Locke, Sondra",23
Track Twenty-Nine,"Roeg, Nicolas",48
Freejack,"Richardson, Tony",26
"John Wayne Matinee Double Feature, No. 1",,30
"Smallest Show on Earth, The","Dearden, Basil",24
Innerspace,"Dante, Joe",41
"Presidio, The","Hyams, Peter",4
Joe Versus the Volcano,"Patrick, John",17
"Doors, The","Stone, Oliver",60
"Welcome Home, Roxy Carmichael","Abrahams, Jim",41
Cancel My Reservation,"Bogart, Paul",60
North by Northwest,"Hitchcock, Alfred",20
"Russians Are Coming, the Russians Are, The","Jewison, Norman",79
Exodus,"Preminger, Otto",13
"Ballad of Narayama, The","Imamura, Shohei",88
Out of the Darkness,"Taylor, Jud",86
"Garden of the Finzi-Continis, The","De Sica, Vittorio",42
Steppenwolf,"Haines, Fred",20
"Mackintosh Man, The","Huston, John",65
Partner,"Bertolucci, Bernardo",26
"Conformist, The","Bertolucci, Bernardo",72
Dirty Harry,"Siegel, Don",72
Ferris Bueller's Day Off,"Hughes, John",12
Legend,"Scott, Ridley",42
"Buddy System, The","Jordan, Glenn",48
A Dry White Season,"Palcy, Euzhan",71
"Rocky Horror Picture Show, The","Sharman, Jim",59
War & Peace,"Bondarchuk, Sergei",80
Defense of the Realm,,79
Basil The Rat,,9
"Fawlty Towers, Gourmet Night, Waldorf Salad & The Kipper & the Corpse",,46
Going Under,"Travis, Mark W.",30
U S. Sub Standard.,,27
Hells Angels on Wheels,,1
"Passenger, The","Antonioni, Michelangelo",32
Last Tango in Paris,"Bertolucci, Bernardo",28
Indigo Autumn & Lilac Dream,"Gillard, Stuart",72
"Kriemhild's Revenge, The Nibelungenlied","Lang, Fritz",74
Johnny Tiger,"Wendkos, Paul",69
Head Office,"Finkleman, Ken",88
Live & Let Die,,62
Le Charme Discret de la Bourgeoisie,"Bunuel, Luis",4
Blue City,"Manning, Michelle",38
Bad Boys,"Rosenthal, Rick",7
"Whoopee Boys, The","Byrum, John",54
"Last Picture Show, The","Bogdanovich, Peter",62
"Diamond Trap, The","Taylor, Don",58
Endless Love,"Zeffirelli, Franco",20
Rocky,"Avildsen, John G.",78
Cocktail,"Donaldson, Roger",13
Sabotage,"Hitchcock, Alfred",74
Madame Rosa,"Mizrahi, Moshe",11
Fozzie's Muppet Scrapbook,,86
Desiree,"Koster, Henry",22
Spartacus,"Kubrick, Stanley",67
Guys & Dolls,"Mankiewicz, Joseph L.",70
Until They Sail,"Wise, Robert",77
Coming to America,"Landis, John",11
Lilies of the Field,"Poitier, Sidney",36
River's Edge,"Hunter, Tim",3
Ruthless People,"Abrahams, Jim",84
"Secret of My Success, The","Ross, Herbert",5
"Shop on Main Street, The","Kadar, Jan",37
Funny Farm,"Hill, George Roy",30
"Lonely Passion of Judith Hearne, The","Clayton, Jack",24
California Suite,"Ross, Herbert",11
Maximum Overdrive,"King, Stephen",40
Pale Rider,"Eastwood, Clint",45
"Kissing Place, The","Wharmby, Tony",41
French Lesson,"Gilbert, Brian",29
Roller Blade,"Jackson, Donald G",31
A Shot in the Dark,"Edwards, Blake",51
"Treasure Seekers, The",,2
Missing,Costa-Gavras,30
Picasso Trigger,"Sidaris, Andy",20
Hard Ticket to Hawaii,"Sidaris, Andy",36
Diamonds are Forever,"Hamilton, Guy",8
Baby Face,"Green, Alfred E.",66
"Violent Men, The","Mate, Rudolph",25
Cocoon,"Howard, Ron",45
Clockwise,"Morahan, Christopher",10
Romantic Comedy,,8
Outland,"Hyams, Peter",7
Hang 'em High,"Post, Ted",67
Basic Instinct,"Verhoeven, Paul",41
Total Recall,"Verhoeven, Paul",8
Stakeout,"Badham, John",13
"Unnamable II, The Statement of Randolph Carter, The","Ouellette, Jean-Paul",36
"Trip, The","Corman, Roger",64
Ironweed,"Babenco, Hector",32
Kramer vs. Kramer,"Benton, Robert",8
Still of the Night,"Benton, Robert",42
Defending Your Life,"Brooks, Albert",75
"Deer Hunter, The","Cimino, Michael",82
Falling in Love,"Grosbard, Ulu",31
Heartburn,"Nichols, Mike",57
Silkwood,"Nichols, Mike",52
Sophie's Choice,"Pakula, Alan J.",64
Out of Africa,"Pollack, Sydney",88
"French Lieutenant's Woman, The","Reisz, Karel",37
Plenty,"Schepisi, Fred",9
A Cry in the Dark,"Schepisi, Fred",67
She-Devil,"Seidelman, Susan",43
Death Becomes Her,"Zemeckis, Robert",61
Kids & Pesticides,,36
On a Clear Day You Can See Forever,"Minnelli, Vincente",67
Nuts,"Ritt, Martin",52
Yentl,"Streisand, Barbra",46
Funny Girl,"Wyler, William",30
Fellow Traveller,"Towns, Philip Saville",39
Dodesukaden,"Kurosawa, Akira",75
"Sicilian, The","Cimino, Michael",41
So Ends Our Night,"Cromwell, John",2
Sword of the Valiant,"Weeks, Stephen",5
"Devil's Wanton, The","Bergman, Ingmar",66
Driving Miss Daisy,"Beresford, Bruce",6
"Seventh Cross, The",,35
Between Friends,"Antonio, Lou",54
Raintree County,"Dmytryk, Edward",74
"Driver's Seat, The","Griffi, Giuseppe Patroni",72
Reflections in a Golden Eye,"Huston, John",81
"X, Y & Zee","Hutton, Brian G.",87
Secret Ceremony,"Losey, Joseph",60
Cleopatra,"Mankiewicz, Joseph L.",80
Father of the Bride,"Minnelli, Vincente",54
Who's Afraid of Virginia Woolf?,"Nichols, Mike",82
A Little Night Music,"Prince, Harold",61
Giant,"Stevens, George",61
"Rumor Mill, The","Trikonis, Gus",62
Lassie Come Home,"Wilcox, Fred M",79
Return Engagement,,26
Hammersmith Is Out,,80
Super Duper Bloopers,,21
"Elizabeth Taylor Collection, The",,21
Ash Wednesday,,54
"Last Time I Saw Paris, The",,13
Cimarron,"Ruggles, Wesley",44
Apache Woman,"Corman, Roger",32
Gary Numan - Berzerker,,60
Mystic Pizza,"Petrie, Donald",74
Dogfight,"Savoca, Nancy",66
"Adventures of Rex & Rinty, The","Beebe, Ford",87
Daphnis & Chloe,"Wimhurst, Jolyon",85
Marathon,"Cooper, Jackie",76
Fort Apache,"Ford, John",4
Wee Willie Winkie,"Ford, John",78
Big Shots,"Mandel, Robert",5
Doin' Time on Planet Earth,"Matthau, Charles",44
All the Right Moves,"Chapman, Michael",65
Some Kind of Wonderful,"Deutch, Howard",16
"All New Tales from the Crypt, A Trilogy","Deutch, Howard",33
Back to the Future,"Zemeckis, Robert",9
Winter Light,"Bergman, Ingmar",2
"Silence, The","Bergman, Ingmar",79
"Magician, The","Bergman, Ingmar",3
"Four Horsemen of the Apocalypse, The","Minnelli, Vincente",71
Critical Condition,"Apted, Michael",41
Center of the Web,,42
Border Shootout,,7
Lean on Me,"Avildsen, John G.",51
On Wings of Eagles,"McLaglen, Andrew V.",53
Texas,"Marshall, George",79
Allegheny Uprising,"Seiter, William A.",53
Dark Command,"Walsh, Raoul",52
Peggy Sue Got Married,"Coppola, Francis Ford",62
"Dear America, Letters Home from Vietnam","Couturie, Bill",57
Prizzi's Honor,"Huston, John",25
"Man with Two Brains, The","Reiner, Carl",68
Crimes of Passion,"Russell, Ken",4
"Jewel of the Nile, The","Teague, Lewis",68
Romancing the Stone,"Zemeckis, Robert ",83
"Accidental Tourist, The",,56
"Sea Chase, The","Farrow, John",4
"Another Time, Another Place",,4
Cannibal Women in the Avocado Jungle of Death,"Lawton, J.F.",56
Mr Love.,"Battersby, Roy",10
2001: A Space Odyssey,"Kubrick, Stanley",83
Persona,"Bergman, Ingmar",81
Scenes from a Marriage,"Bergman, Ingmar",3
Hour of the Wolf,"Bergman, Ingmar",37
"Passion of Anna, The","Bergman, Ingmar",6
Dangerous Moves,"Dembo, Richard",7
Sayonara,"Logan, Joshua",19
Where Eagles Dare,"Hulton, Brian G.",57
Teen Wolf,"Daniel, Rod",58
Amazon,"Kaurismäki, Mika",30
"Paper Chase, The","Bridges, James",7
"Virgin Spring, The","Bergman, Ingmar",8
Spider's Stratagem,"Bertolucci, Bernardo",45
Play Misty for Me,"Eastwood, Clint",47
Going Ape,"Kronsberg, Jeremy Joe",65
Cool Hand Luke,"Rosenberg, Stuart",49
Phantom of the Ritz,"Plone, Allen",85
Crash & Burn,"Band, Charles",75
After Dark My Sweet,"Foley, James",33
Christopher Columbus: The Discovery,"Glen, John",39
Young Sherlock Holmes,"Levinson, Barry",16
Doc Hollywood,"Caton-Jones, Michael",64
Baja Oklahoma,"Roth, Bobby",71
Aliens,"Cameron, James",82
Alien Three,"Fincher, David",59
Alien: resurrection,"Jeunet, Jean-Pierre",60
Alien,"Scott, Ridley",83
One Woman or Two,"Vigne, Daniel",64
Soggy Bottom U. S. A.,"Flicker, Theodore J.",50
Bang the Drum Slowly,"Hancock, John D.",73
"Catamount Killing, The","Zanussi, Krzystoff",84
Fuzz,"Colla, Richard A.",37
"Shoot Loud, Louder, I Don't Understand!","De Filippo, Eduardo",70
Bedazzled,"Donen, Stanley",67
"Prince & the Pauper, The","Fleischer, Richard",86
One Hundred Rifles,"Gries, Tom",48
"Wild Party, The","Ivory, James",75
Bandolero!,"McLaglen, Andrew V.",9
"Last of Sheila, The","Ross, Herbert",39
Hannie Caulder,,9
Sounds of the Seventies...& the Beat Goes,,13
Bird,"Eastwood, Clint",24
Meet Millie,,82
Hell Comes to Frogtown,"Jackson, Donald G",74
"Fortune Cookie, The","Wilder, Billy",3
"Sun Shines Bright, The","Ford, John",46
"Squeeze, The","Apted, Michael",23
Start the Revolution Without Me,"Yorkin, Bud",62
Major League,"Ward, David S.",64
"Bright Lights, Big City","Bridges, James",30
"Lost Boys, The","Schumacher, Joel",67
Cookie,"Seidelman, Susan",43
"Conversation, The","Coppola, Francis Ford",59
American Graffiti,"Lucas, George",39
Dangerous When Wet,"Walters, Charles",67
Stir Crazy,"Poitier, Sidney",40
Young Einstein,"Serious, Yahoo",47
"Killing, The","Kubrick, Stanley",51
"Cahill, United States Marshal","McLaglen, Andrew V.",12
"Savage Intruder, The","Wolfe, Donald",24
"Sheltering Sky, The","Bertolucci, Bernardo",64
An Officer & a Gentleman,"Hackford, Taylor",1
Black Widow,"Rafelson, Bob",54
Legal Eagles,"Reitman, Ivan",39
Bloody Mama,"Corman, Roger",17
A Patch of Blue,"Green, Guy",51
I Died a Thousand Times,"Heisler, Stuart",23
Tentacles,"Hellman, Oliver",62
"Scalphunters, The","Pollack, Sydney",33
A Day in October,"Madsen, Kenneth",76
A Fistful of Dollars,"Leone, Sergio",61
My Science Project,"Betnel, Jonathan",84
"Great Race, The","Edwards, Blake",88
"Searchers, The","Ford, John",9
Meteor,"Neame, Ronald",5
Rebel Without a Cause,"Ray, Nicholas",82
West Side Story,"Wise, Robert",38
Trash,"Morrissey, Paul",68
A Big Hand for the Little Lady,"Cook, Fielder",12
A Fine Madness,"Kershner, Irvin",6
"Glass Menagerie, The","Newman, Paul",68
Harry & Son,"Newman, Paul",57
"Rachel, Rachel","Newman, Paul",32
Paris Blues,"Ritt, Martin",54
"Fugitive Kind, The",,3
Mr. & Mrs. Bridge,,29
State of Grace,"Joanou, Phil",49
Shadow of a Doubt,"Hitchcock, Alfred",32
"Men, The","Zinnemann, Fred",27
Stage Fright,"Hitchcock, Alfred",72
Magic Town,"Wellman, William",4
That Lucky Touch,"Miles, Christopher",85
Lust for Gold,"Simon, S. Sylvan",57
Heat,"Jameson, Jerry",69
Employee's Entrance,,0
Night Is My Future,"Bergman, Ingmar",17
"Witches, The","Roeg, Nicolas",18
Vera Cruz,"Aldrich, Robert",71
Apache,"Aldrich, Robert",78
Twilight's Last Gleaming,"Aldrich, Robert",84
"Frisco Kid, The","Aldrich, Robert",10
Bank on the Stars,"Allen, Craig",
Law of Desire,"Almodóvar, Pedro",73
"Quiller Memorandum, The","Anderson, Michael",34
"Longest Day, The","Annakin, Ken",7
"Name of the Rose, The","Annaud, Jean-Jacques",8
Bloodsport,"Arnold, Newt",78
Torment,"Aslanian, Samson",8
Pelle the Conqueror,"August, Bille",14
Taps,"Becker, Harold",84
"Freshman, The","Bergman, Andrew",32
"Last Emperor, The","Bertolucci, Bernardo",1
"Grim Reaper, The","Bertolucci, Bernardo",35
Le Dernier Combat,"Besson, Luc",72
Too Beautiful for You,"Blier, Bertrand",35
"Fire, Ice & Dynamite","Bogner, Willy",72
Heavens Above,"Boulting, John",38
One Eyed Jacks,"Brando, Marlon",26
"Swing It, Sailor!","Cannon, Raymond",83
"Wolf at the Door, The","Carlsen, Henning",68
Modern Times,"Chaplin, Charles",4
Thunderbolt & Lightfoot,"Cimino, Michael",16
A Nous la Liberte,"Clair, Rene",60
Scum,"Clarke, Alan",68
"Inside Man, The","Clegg, Tom",45
Apocalypse Now,"Coppola, Francis Ford",8
"Bellboy & the Playgirls, The","Coppola, Francis Ford",7
"Terror, The","Corman, Roger",88
"Raven, The","Corman, Roger",85
They Came from Within,"Cronenberg, David",21
"Boy in Blue, The","Dale, Cynthia",63
Killer Tomatoes Strike Back,"De Bello, John",24
Attack of the Killer Tomatoes,"De Bello, John",47
"Untouchables, The","De Palma, Brian",7
Wise Guys,"De Palma, Brian",16
American Autobahn,"Degas, Andre",75
"Final Alliance, The","Di Leo, Mario",10
"Bounty, The","Donaldson, Roger",25
"Little Prince, The","Donen, Stanley",31
Posse,"Douglas, Kirk",76
Firefox,"Eastwood, Clint",64
Penitentiary III,"Fanaka, Jamaa",82
Ginger & Fred,"Fellini, Federico",29
"Wrong Box, The","Forbes, Bryan",40
Wagonmaster,"Ford, John",1
They Were Expendable,"Ford, John",88
"Last Hurrah, The","Ford, John",46
Law of the Golden West,"Ford, Philip",1
Pioneer Marshal,"Ford, Philip",8
Ranger of the Cherokee Strip,"Ford, Philip",31
Vanishing Westerner,"Ford, Philip",6
Bandits of Dark Canyon,"Ford, Philip",72
"Bold Frontiersman, The","Ford, Philip",18
"Wild Frontier, The","Ford, Philip",61
"Firemen's Ball, The","Forman, Milos",8
Local Hero,"Forsyth, Bill",54
"French Connection, The","Friedkin, William",88
To Live & Die in L. A.,"Friedkin, William",70
Ferry to Hong Kong,"Gilbert, Lewis",77
"Eddie Murphy, Delirious","Gower, Bruce",6
"Secret Policeman's Private Parts, The","Graef, Roger",36
Up the Creek,"Guest, Val",54
Yol,"Guney, Yilmaz",53
Sara Dane,"Hardy, Rod",75
Night Tide,"Harrington, Curtis",50
His Majesty O'Keefe,"Haskin, Byron",3
North to Alaska,"Hathaway, Henry",31
Flight to Fury,"Hellman, Monte",70
Ride in the Whirlwind,"Hellman, Monte",26
Powderkeg,"Heyes, Douglas",26
I Confess,"Hitchcock, Alfred",63
"Thirty-Nine Steps, The","Hitchcock, Alfred",8
Topaz,"Hitchcock, Alfred",12
Murder,"Hitchcock, Alfred",50
